[2023-03-08T00:14:05.005Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1071878 ms
[2023-03-08T00:45:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1865696 ms
[2023-03-08T00:48:18.018Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 159857 ms
[2023-03-08T00:48:19.019Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 00:45:34.211 to 2023-03-08 00:48:19.071 since last heartbeat (+159860 ms)
[2023-03-08T00:48:19.019Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 159860 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T00:48:21.021Z] [com.zaxxer.hikari.pool.HikariPool$HouseKeeper] [HikariPool-1 housekeeper] [[32m[0;39m] [766] [WARN ] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=34m15s506ms).
[2023-03-08T00:53:31.031Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 305393 ms
[2023-03-08T00:53:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-3] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 00:48:24.081 to 2023-03-08 00:53:34.479 since last heartbeat (+305398 ms)
[2023-03-08T00:53:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-3] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 305398 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T00:53:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 465267 ms
[2023-03-08T01:11:03.003Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1045153 ms
[2023-03-08T01:11:04.004Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 00:53:34.479 to 2023-03-08 01:11:04.642 since last heartbeat (+1045163 ms)
[2023-03-08T01:11:04.004Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1045163 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T01:26:50.050Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 939922 ms
[2023-03-08T01:26:54.054Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 01:11:09.643 to 2023-03-08 01:26:54.565 since last heartbeat (+939922 ms)
[2023-03-08T01:26:54.054Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 939922 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T01:26:54.054Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1985085 ms
[2023-03-08T01:44:20.020Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1042980 ms
[2023-03-08T01:44:22.022Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 01:26:54.565 to 2023-03-08 01:44:22.468 since last heartbeat (+1042903 ms)
[2023-03-08T01:44:22.022Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1042903 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T01:44:24.024Z] [com.zaxxer.hikari.pool.HikariPool$HouseKeeper] [HikariPool-1 housekeeper] [[32m[0;39m] [766] [WARN ] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=56m3s403ms).
[2023-03-08T02:01:09.009Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1002076 ms
[2023-03-08T02:01:09.009Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 01:44:22.468 to 2023-03-08 02:01:09.554 since last heartbeat (+1002086 ms)
[2023-03-08T02:01:09.009Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1002086 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T02:01:14.014Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 2044783 ms
[2023-03-08T02:18:19.019Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1021940 ms
[2023-03-08T02:18:21.021Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 02:01:14.353 to 2023-03-08 02:18:21.280 since last heartbeat (+1021927 ms)
[2023-03-08T02:18:21.021Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1021927 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T02:35:48.048Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 02:18:21.280 to 2023-03-08 02:35:48.146 since last heartbeat (+1041866 ms)
[2023-03-08T02:35:48.048Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1041866 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T02:35:48.048Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1041873 ms
[2023-03-08T02:35:53.053Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 2063792 ms
[2023-03-08T02:51:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 939811 ms
[2023-03-08T02:51:37.037Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 02:35:53.138 to 2023-03-08 02:51:37.940 since last heartbeat (+939802 ms)
[2023-03-08T02:51:37.037Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 939802 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T02:51:40.040Z] [com.zaxxer.hikari.pool.HikariPool$HouseKeeper] [HikariPool-1 housekeeper] [[32m[0;39m] [766] [WARN ] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h7m15s478ms).
[2023-03-08T03:09:21.021Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1059891 ms
[2023-03-08T03:09:22.022Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 02:51:37.940 to 2023-03-08 03:09:22.845 since last heartbeat (+1059905 ms)
[2023-03-08T03:09:22.022Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1059905 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T03:09:27.027Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1999706 ms
[2023-03-08T03:25:34.034Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 965652 ms
[2023-03-08T03:25:38.038Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 03:09:27.844 to 2023-03-08 03:25:38.346 since last heartbeat (+965502 ms)
[2023-03-08T03:25:38.038Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 965502 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T03:42:14.014Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 993146 ms
[2023-03-08T03:42:16.016Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 03:25:38.346 to 2023-03-08 03:42:16.327 since last heartbeat (+992981 ms)
[2023-03-08T03:42:16.016Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-1] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 992981 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T03:42:21.021Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1958481 ms
[2023-03-08T03:57:20.020Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 898564 ms
[2023-03-08T03:57:24.024Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 03:42:21.328 to 2023-03-08 03:57:24.891 since last heartbeat (+898563 ms)
[2023-03-08T03:57:24.024Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 898563 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T03:57:27.027Z] [com.zaxxer.hikari.pool.HikariPool$HouseKeeper] [HikariPool-1 housekeeper] [[32m[0;39m] [766] [WARN ] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h5m46s948ms).
[2023-03-08T04:13:35.035Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 967894 ms
[2023-03-08T04:13:37.037Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 03:57:24.891 to 2023-03-08 04:13:37.769 since last heartbeat (+967878 ms)
[2023-03-08T04:13:37.037Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-6] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 967878 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T04:29:46.046Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 963854 ms
[2023-03-08T04:29:46.046Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 2830294 ms
[2023-03-08T04:29:46.046Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 04:13:37.769 to 2023-03-08 04:29:46.624 since last heartbeat (+963855 ms)
[2023-03-08T04:29:46.046Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-5] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 963855 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T04:45:08.008Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 914870 ms
[2023-03-08T04:45:11.011Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 04:29:51.617 to 2023-03-08 04:45:11.493 since last heartbeat (+914876 ms)
[2023-03-08T04:45:11.011Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 914876 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T05:01:49.049Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 993912 ms
[2023-03-08T05:01:50.050Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 04:45:11.493 to 2023-03-08 05:01:50.396 since last heartbeat (+993903 ms)
[2023-03-08T05:01:50.050Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 993903 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T05:01:50.050Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1908779 ms
[2023-03-08T05:17:53.053Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 957023 ms
[2023-03-08T05:17:54.054Z] [com.zaxxer.hikari.pool.HikariPool$HouseKeeper] [HikariPool-1 housekeeper] [[32m[0;39m] [766] [WARN ] HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h20m27s478ms).
[2023-03-08T05:17:57.057Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 05:01:55.404 to 2023-03-08 05:17:57.353 since last heartbeat (+956949 ms)
[2023-03-08T05:17:57.057Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 956949 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T05:34:49.049Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 1009121 ms
[2023-03-08T05:34:51.051Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-7] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 05:17:57.353 to 2023-03-08 05:34:51.228 since last heartbeat (+1008875 ms)
[2023-03-08T05:34:51.051Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] BroadcastOperationControlTask delayed 1965828 ms
[2023-03-08T05:34:51.051Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-7] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 1008875 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T05:50:28.028Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 930907 ms
[2023-03-08T05:50:32.032Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 05:34:56.224 to 2023-03-08 05:50:32.121 since last heartbeat (+930897 ms)
[2023-03-08T05:50:32.032Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-2] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] Resetting heartbeat timestamps because of huge system clock jump! Clock-Jump: 930897 ms, Heartbeat-Timeout: 60000 ms
[2023-03-08T06:00:30.030Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.InvocationMonitorThread] [[32m[0;39m] [49] [WARN ] [192.168.64.1]:5701 [dev] [3.11.2] MonitorInvocationsTask delayed 595108 ms
[2023-03-08T06:00:32.032Z] [com.hazelcast.logging.StandardLoggerFactory$StandardLogger] [hz.employee-hazelcast-instance.cached.thread-4] [[32m[0;39m] [49] [INFO ] [192.168.64.1]:5701 [dev] [3.11.2] System clock apparently jumped from 2023-03-08 05:50:32.121 to 2023-03-08 06:00:32.234 since last heartbeat (+595113 ms)
